,art_title,what_is_known,what_is_added,implications,publication_date
11,"Association Between K–12 School Mask Policies and School-Associated COVID-19 Outbreaks — Maricopa and Pima Counties, Arizona, July–August 2021",NA,NA,NA,1-Oct-21
12,"COVID-19–Related School Closures and Learning Modality Changes — United States, August 1–September 17, 2021",NA,NA,NA,1-Oct-21
13,"Pediatric COVID-19 Cases in Counties With and Without School Mask Requirements — United States, July 1–September 4, 2021",NA,NA,NA,1-Oct-21
14,"Safety Monitoring of an Additional Dose of COVID-19 Vaccine — United States, August 12–September 19, 2021","Among 306 Pfizer-BioNTech clinical trial participants, adverse reactions after dose 3 were similar to those after dose 2.","During August 12–September 19, 2021, among 12,591 v-safe registrants who completed a health check-in survey after all 3 doses of an mRNA COVID-19 vaccine, 79.4% and 74.1% reported local or systemic reactions, respectively, after the third dose; 77.6% and 76.5% reported local or systemic reactions after the second dose, respectively.","Voluntary reports to v-safe found no unexpected patterns of adverse reactions after an additional dose of COVID-19 vaccine. CDC will continue to monitor vaccine safety, including for additional COVID-19 doses.",1-Oct-21
15,"Comparative Effectiveness of Moderna, Pfizer-BioNTech, and Janssen (Johnson & Johnson) Vaccines in Preventing COVID-19 Hospitalizations Among Adults Without Immunocompromising Conditions — United States, March–August 2021",Two 2-dose mRNA COVID-19 vaccines (from Pfizer-BioNTech and Moderna) and a 1-dose viral vector vaccine (from Janssen [Johnson & Johnson]) are currently used in the United States.,"Among U.S. adults without immunocompromising conditions, vaccine effectiveness against COVID-19 hospitalization during March 11–August 15, 2021, was higher for the Moderna vaccine (93%) than the Pfizer-BioNTech vaccine (88%) and the Janssen vaccine (71%).","Although these real-world data suggest some variation in levels of protection by vaccine, all FDA-approved or authorized COVID-19 vaccines provide substantial protection against COVID-19 hospitalization.",24-Sep-21
16,"Use of Pfizer-BioNTech COVID-19 Vaccine in Persons Aged ≥16 Years: Recommendations of the Advisory Committee on Immunization Practices — United States, September 2021","On August 23, 2021, the Food and Drug Administration granted full approval of the Pfizer-BioNTech COVID-19 vaccine for persons aged ≥16 years.","On August 30, 2021, after a systematic review of the data, the Advisory Committee on Immunization Practices revised its interim recommendation to a standard recommendation for use of the Pfizer-BioNTech COVID-19 vaccine in persons aged ≥16 years for the prevention of COVID-19.","Continued use of the Pfizer-BioNTech COVID-19 vaccine, now fully approved by the FDA in persons aged ≥16 years, is recommended based on increased certainty that its benefits (prevention of asymptomatic infection, COVID-19, and associated hospitalization and death) outweigh vaccine-associated risks.",24-Sep-21
17,"Outbreak of SARS-CoV-2 B.1.617.2 (Delta) Variant Infections Among Incarcerated Persons in a Federal Prison — Texas, July–August 2021",Incarcerated populations have experienced disproportionately higher rates of COVID-19–related illness and death.,"During a COVID-19 outbreak involving the Delta variant in a highly vaccinated incarcerated population, transmission rates were high, even among vaccinated persons. Although attack rates, hospitalizations, and deaths were higher among unvaccinated than among vaccinated persons, duration of positive serial test results was similar for both groups. Infectious virus was cultured from vaccinated and unvaccinated infected persons.","Even with high vaccination rates, maintaining multicomponent prevention strategies (e.g., testing and masking for all persons and prompt medical isolation and quarantine for incarcerated persons) remains critical to limiting SARS-CoV-2 transmission in congregate settings where physical distancing is challenging.",24-Sep-21
18,"Disaggregating Data to Measure Racial Disparities in COVID-19 Outcomes and Guide Community Response — Hawaii, March 1, 2020–February 28, 2021",Aggregated race data can obscure health disparities among subgroups.,"During March 2020–February 2021, community-informed data disaggregation in Hawaii indicated Pacific Islander persons, who account for 5% of the Hawaiian population, represented 22% of COVID-19 cases and 22% of COVID-19–related deaths. Among Asian populations, the highest COVID-19 incidences occurred among Filipino and Vietnamese persons.",Disaggregating race data can aid in identifying racial disparities among specific subpopulations and highlights the importance of partnering with communities to develop culturally responsive outreach teams and tailored public health interventions and vaccination campaigns to more effectively address health disparities.,17-Sep-21
19,"Post-Acute Sequelae of SARS-CoV-2 Infection Among Adults Aged ≥18 Years — Long Beach, California, April 1–December 10, 2020",The term “long COVID” is used to describe post-acute sequelae and long-term symptoms that can be experienced from weeks to months by persons recovering from COVID-19.,"In a random sample of recovered COVID-19 patients in Long Beach, California, one third of participants reported post-acute sequelae 2 months after their positive test result, with higher rates reported among persons aged ≥40 years, females, persons with preexisting conditions, and Black persons.",Identification of populations disproportionately affected by COVID-19 and long COVID can help guide efforts to prioritize prevention and treatment.,17-Sep-21
20,"Longitudinal Trends in Body Mass Index Before and During the COVID-19 Pandemic Among Persons Aged 2–19 Years — United States, 2018–2020","The COVID-19 pandemic led to school closures, disrupted routines, increased stress, and less opportunity for physical activity and proper nutrition, leading to weight gain among children and adolescents.","Among a cohort of 432,302 persons aged 2–19 years, the rate of body mass index (BMI) increase approximately doubled during the pandemic compared to a prepandemic period. Persons with prepandemic overweight or obesity and younger school-aged children experienced the largest increases.","Obesity prevention and management efforts during and following the COVID-19 pandemic could include health care provider screening for BMI, food security, and social determinants of health, and increased access to evidence-based pediatric weight management programs and food assistance resources.",17-Sep-21
21,"Monitoring Incidence of COVID-19 Cases, Hospitalizations, and Deaths, by Vaccination Status — 13 U.S. Jurisdictions, April 4–July 17, 2021","The incidence of SARS-CoV-2 infection, hospitalization, and death is higher in unvaccinated than vaccinated persons, and the incidence rate ratios are related to vaccine effectiveness.","Across 13 U.S. jurisdictions, incidence rate ratios for hospitalization and death changed relatively little after the SARS-CoV-2 B.1.617.2 (Delta) variant reached predominance, suggesting high, continued vaccine effectiveness against severe COVID-19. Case IRRs decreased, suggesting reduced vaccine effectiveness for prevention of SARS-CoV-2 infections.","Getting vaccinated protects against severe illness from COVID-19, including the Delta variant. Monitoring COVID-19 incidence by vaccination status might provide early signals of potential changes in vaccine effectiveness that can be confirmed through robust controlled studies.",17-Sep-21
22,"Interim Estimates of COVID-19 Vaccine Effectiveness Against COVID-19–Associated Emergency Department or Urgent Care Clinic Encounters and Hospitalizations Among Adults During SARS-CoV-2 B.1.617.2 (Delta) Variant Predominance — Nine States, June–August 2021",NA,NA,NA,17-Sep-21
23,"Effectiveness of COVID-19 mRNA Vaccines Against COVID-19–Associated Hospitalization — Five Veterans Affairs Medical Centers, United States, February 1–August 6, 2021","mRNA COVID-19 vaccines are effective in preventing severe COVID-19 outcomes, including hospitalization.","During February 1–August 6, 2021, vaccine effectiveness among U.S. veterans hospitalized at five Veterans Affairs Medical Centers was 87%. mRNA COVID-19 vaccines remain highly effective, including during periods of widespread circulation of the SARS-CoV-2 B.1.617.2 (Delta) variant. Vaccine effectiveness in preventing COVID-19–related hospitalization was 80% among adults aged ≥65 years compared with 95% among adults aged 18–64 years.","To protect against COVID-19–related hospitalization, all eligible persons should receive COVID-19 vaccination. Additional studies are needed to understand differences in COVID-19 vaccine effectiveness across age groups.",17-Sep-21
24,"New COVID-19 Cases and Hospitalizations Among Adults, by Vaccination Status — New York, May 3–July 25, 2021",Real-world studies of population-level vaccine effectiveness against laboratory-confirmed SARS-CoV-2 infection and COVID-19 hospitalizations are limited in the United States.,"During May 3–July 25, 2021, the overall age-adjusted vaccine effectiveness against hospitalization in New York was relatively stable 89.5%–95.1%). The overall age-adjusted vaccine effectiveness against infection for all New York adults declined from 91.8% to 75.0%.","These findings support the implementation of multicomponent approach to controlling the pandemic, centered on vaccination, as well as other prevention strategies such as masking and physical distancing.",17-Sep-21
25,"Long-Term Symptoms Among Adults Tested for SARS-CoV-2 — United States, January 2020–April 2021",Long-term symptoms associated with COVID-19 represent an emerging public health concern.,"In a nonprobability-based sample of U.S. adults tested for SARS-CoV-2, symptoms often associated with SARS-CoV-2 infection were common; 65.9% of respondents whose SARS-CoV-2 test results were positive reported symptoms lasting >4 weeks compared with 42.9% of those whose test results were negative. More persons who received positive test results (76.2%) reported persistence (>4 weeks) of at least one initially occurring symptom compared with those whose test results were negative (69.6%).",These findings can aid efforts to address post-COVID conditions and messaging on potential benefits of vaccination.,10-Sep-21
26,"Using Wastewater Surveillance Data to Support the COVID-19 Response — United States, 2020–2021","Wastewater surveillance measures community infection trends. The accuracy of this surveillance approach is independent of health care–seeking behavior, health care access, or testing capacity. The National Wastewater Surveillance System (NWSS) is a 43-jurisdiction, CDC-coordinated system for SARS-CoV-2 wastewater surveillance.","Wastewater surveillance data have been used to deploy clinical testing resources, investigate possible irregularities in traditional surveillance, refine health messaging, and forecast clinical resource needs.","NWSS provides community-level surveillance data that complement traditional surveillance and facilitate earlier, focused health department intervention and support in communities experiencing increasing trends in wastewater SARS-CoV-2 concentrations. Community-level wastewater surveillance data can be leveraged for rapid assessment of emerging threats and preparedness for future pandemics.",10-Sep-21
27,"SARS-CoV-2 Transmission to Masked and Unmasked Close Contacts of University Students with COVID-19 — St. Louis, Missouri, January–May 2021","During January–May 2021, Saint Louis University implemented a modified quarantine protocol that considered mask use when determining which close contacts required quarantine among an almost entirely unvaccinated student population.","Compared with only masked exposure, close contacts with any unmasked exposure had higher adjusted odds of a positive test result. Each additional exposure was associated with a 40% increase in odds of a positive test.",Universal masking and fewer encounters in close proximity to persons with COVID-19 can limit the spread of SARS-CoV-2 in university settings.,10-Sep-21
28,"Trends in COVID-19 Cases, Emergency Department Visits, and Hospital Admissions Among Children and Adolescents Aged 0–17 Years — United States, August 2020–August 2021",Severe illness from COVID-19 can and does occur in children and adolescents.,"COVID-19 cases, emergency department visits, and hospital admissions increased from June to August 2021 among persons aged 0-17 years. Emergency department visits and hospital admissions in a 2-week period in August 2021 were higher in states with lower population vaccination coverage and lower in states with higher vaccination coverage.","Community vaccination, in coordination with testing strategies and other prevention measures, is critical to protecting pediatric populations from SARS-CoV-2 infection and severe COVID-19.",10-Sep-21
29,"Hospitalizations Associated with COVID-19 Among Children and Adolescents — COVID-NET, 14 States, March 1, 2020–August 14, 2021",COVID-19 can cause severe illness in children and adolescents.,"Weekly COVID-19–associated hospitalization rates among children and adolescents rose nearly five-fold during late June–mid-August 2021, coinciding with increased circulation of the highly transmissible SARS-CoV-2 Delta variant. The proportions of hospitalized children and adolescents with severe disease were similar before and during the period of Delta predominance. Hospitalization rates were 10 times higher among unvaccinated than among fully vaccinated adolescents.","Preventive measures to reduce transmission and severe outcomes in children and adolescents are critical, including vaccination, universal masking in schools, and masking by persons aged ≥2 years in other indoor public spaces and child care centers.",10-Sep-21
30,"Multiple Variants of SARS-CoV-2 in a University Outbreak After Spring Break — Chicago, Illinois, March–May 2021",SARS-CoV-2 transmission on college and university campuses can occur when unvaccinated students return to campus after travel or attend social gatherings.,"After spring break 2021, COVID-19 cases increased rapidly at a Chicago university despite mitigation measures. Interviews indicated that the majority of cases occurred in unvaccinated persons with a history of recent travel. Sequencing corroborated multiple introductions to campus and demonstrated that even a single importation can result in many cases.","To mitigate SARS-CoV-2 transmission, colleges and universities can encourage COVID-19 vaccination; discourage unvaccinated students from traveling, including during university breaks; implement serial screening after university breaks; test based on community transmission; and encourage masking.",3-Sep-21
31,"Screening Programs for SARS-CoV-2 Infections on a University Campus — Austin, Texas, September 30–November 30, 2020 ",University testing programs have permitted a safer return of students to campus by identifying persons with COVID-19 and temporarily isolating them from the campus population.,"Targeted screening identified 48 cases of COVID-19 during September–November 2020, 18 (38%) of which were in asymptomatic persons. This population of infected students was demographically different from those identified through other testing programs, more risk-tolerant, and less willing to participate in public health prevention activities.","In addition to clinic-based diagnostic SARS-CoV-2 testing at colleges and universities, a complementary strategy of community and targeted screening programs might enhance efforts to identify and control transmission of COVID-19.",3-Sep-21
32,"COVID-19 Vaccination Coverage Among Adolescents Aged 12–17 Years — United States, December 14, 2020–July 31, 2021","Although more common among adults, severe COVID-19 illness and hospitalization occur among adolescents.","As of July 31, 2021, coverage with ≥1 dose of COVID-19 vaccine among adolescents aged 12–17 years was 42%, and 32% had completed the series. Series completion rates varied widely by state, ranging from 11% to 60%, and was 25% for adolescents aged 12–13 years, 30% for those aged 14–15 years, and 40% for those aged 16–17 years.",Improving adolescent COVID-19 vaccination coverage is crucial to reduce COVID-19–associated morbidity and mortality among adolescents and can help facilitate safer reopening of schools for in-person learning.,3-Sep-21
33,"Outbreak Associated with SARS-CoV-2 B.1.617.2 (Delta) Variant in an Elementary School — Marin County, California, May–June 2021",The SARS-CoV-2 B.1.617.2 (Delta) variant is highly transmissible. Prevention guidance in schools varies by jurisdiction.,"During May 23–June 12, 2021, 26 laboratory-confirmed COVID-19 cases occurred among Marin County, California, elementary school students and their contacts following exposure to an unvaccinated infected teacher. The attack rate in one affected classroom was 50%; risk correlated with seating proximity to the teacher.","Vaccines are effective against the Delta variant, but transmission risk remains elevated among unvaccinated persons in schools. In addition to vaccination, strict adherence to multiple nonpharmaceutical prevention strategies, including masking, are important to ensure safe school instruction.",3-Sep-21
34,"COVID-19 Case Rates in Transitional Kindergarten Through Grade 12 Schools and in the Community — Los Angeles County, California, September 2020–March 2021",NA,NA,NA,3-Sep-21
35,"Epidemiologically Linked COVID-19 Outbreaks at a Youth Camp and Men’s Conference — Illinois, June–July 2021",The Illinois Department of Public Health investigated COVID-19 outbreaks at two events sponsored by the same organization: a 5-day overnight church camp for persons aged 14–18 years and a 2-day men’s conference.,"Neither COVID-19 vaccination nor COVID-19 testing was required before either event. Among 122 primary cases, 104 (85%) were in persons who were not fully vaccinated, and 18 (15%) were in fully vaccinated persons. Eight of 38 (21%) close contacts of the 18 fully vaccinated persons subsequently became infected with SARS-CoV-2. No vaccinated persons with COVID-19 were hospitalized.","This investigation underscores the impact of secondary SARS-CoV-2 transmission during large events such as camps and conferences when COVID-19 prevention strategies, including vaccination, masking, physical distancing, and screening testing, are not implemented.",3-Sep-21
36,"Association Between COVID-19 and Myocarditis Using Hospital-Based Administrative Data — United States, March 2020–January 2021",Viral infections are a common cause of myocarditis. Some studies have indicated an association between COVID-19 and myocarditis.,"During March 2020–January 2021, patients with COVID-19 had nearly 16 times the risk for myocarditis compared with patients who did not have COVID-19, and risk varied by sex and age.","These findings underscore the importance of implementing evidence-based COVID-19 prevention strategies, including vaccination, to reduce the public health impact of COVID-19 and its associated complications.",3-Sep-21
37,"Mental Health and Substance Use Among Adults with Disabilities During the COVID-19 Pandemic — United States, February–March 2021",Adults with disabilities experience higher levels of mental health conditions and substance use than do adults without disabilities.,"During February–March 2021, 64.1% of surveyed U.S. adults with disabilities reported adverse mental health symptoms or substance use; past-month substance use was higher than that among adults without disabilities (40.6% versus 24.5%, respectively). Among adults with a diagnosis of mental health or substance use conditions, adults with disabilities more frequently (43% versus 35%) reported pandemic-related difficulty accessing related care and medications.","During public health emergencies, including the COVID-19 pandemic, enhanced mental health and substance use screening among adults with disabilities and improved access to related health care services are critical.",27-Aug-21
38,"New COVID-19 Cases and Hospitalizations Among Adults, by Vaccination Status — New York, May 3–July 25, 2021",Real-world studies of population-level vaccine effectiveness against laboratory-confirmed SARS-CoV-2 infection and COVID-19 hospitalizations are limited in the United States.,"During May 3–July 25, 2021, the overall age-adjusted vaccine effectiveness against hospitalization in New York was relatively stable (91.9%–95.3%). The overall age-adjusted vaccine effectiveness against infection for all New York adults declined from 91.7% to 79.8%.","These findings support the implementation of multicomponent approach to controlling the pandemic, centered on vaccination, as well as other prevention strategies such as masking and physical distancing.",27-Aug-21
39,"Sustained Effectiveness of Pfizer-BioNTech and Moderna Vaccines Against COVID-19 Associated Hospitalizations Among Adults — United States, March–July 2021","COVID-19 mRNA vaccines provide strong protection against severe COVID-19; however, the duration of protection is uncertain.","Among 1,129 patients who received 2 doses of a mRNA vaccine, no decline in vaccine effectiveness against COVID-19 hospitalization was observed over 24 weeks. Vaccine effectiveness was 86% 2–12 weeks after vaccination and 84% at 13–24 weeks. Vaccine effectiveness was sustained among groups at risk for severe COVID-19.","mRNA vaccine effectiveness against COVID-19–associated hospitalizations was sustained over 24 weeks; ongoing monitoring is needed as new SARS-CoV-2 variants emerge. To reduce hospitalization, all eligible persons should be offered COVID-19 vaccination.",27-Aug-21
40,"Effectiveness of Pfizer-BioNTech and Moderna Vaccines in Preventing SARS-CoV-2 Infection Among Nursing Home Residents Before and During Widespread Circulation of the SARS-CoV-2 B.1.617.2 (Delta) Variant — National Healthcare Safety Network, March 1–August 1, 2021",Early observational studies among nursing home residents showed mRNA vaccines to be 53% to 92% effective against SARS-CoV-2 infection.,"Two doses of mRNA vaccines were 74.7% effective against infection among nursing home residents early in the vaccination program (March–May 2021). During June–July 2021, when B.1.617.2 (Delta) variant circulation predominated, effectiveness declined significantly to 53.1%.","Multicomponent COVID-19 prevention strategies, including vaccination of nursing home staff members, residents, and visitors, are critical.  An additional dose of COVID-19 vaccine might be considered for nursing home and long-term care facility residents to optimize a protective immune response.",27-Aug-21
41,"Effectiveness of COVID-19 Vaccines in Preventing SARS-CoV-2 Infection Among Frontline Workers Before and During B.1.617.2 (Delta) Variant Predominance — Eight U.S. Locations, December 2020–August 2021",NA,NA,NA,27-Aug-21
42,"SARS-CoV-2 Infections and Hospitalizations Among Persons Aged ≥16 Years, by Vaccination Status — Los Angeles County, California, May 1–July 25, 2021","Although COVID-19 vaccines are highly effective, some fully vaccinated persons will be infected with SARS-CoV-2.","During May 1–July 25, 2021, among 43,127 SARS-CoV-2 infections in residents of Los Angeles County, California, 10,895 (25.3%) were in fully vaccinated persons, 1,431 (3.3%) were in partially vaccinated persons, and 30,801 (71.4%) were in unvaccinated persons. On July 25, infection and hospitalization rates among unvaccinated persons were 4.9 and 29.2 times, respectively, those in fully vaccinated persons. In July, when the Delta variant was predominant, cycle threshold values were similar for unvaccinated, partially vaccinated, and vaccinated persons.","Efforts to enhance COVID-19 vaccination coverage, in coordination with other prevention strategies, are critical to preventing COVID-19–related hospitalizations and deaths.",27-Aug-21
43,"Disparities in Excess Mortality Associated with COVID-19 — United States, 2020","Hispanic or Latino, non-Hispanic Black or African American (Black), and non-Hispanic American Indian or Alaska Native populations have been disproportionately affected by the COVID-19 pandemic.","Excess mortality incidence rates were higher for persons aged ≥65 years, with notable racial/ethnic disparities across all age groups. In 2020, among Black and Hispanic persons aged ≥65 years, >1,000 excess deaths per 100,000 person-years occurred compared with the number of deaths expected to occur.","These findings could help guide targeted public health messaging and mitigation efforts to reduce disparities in COVID-19–associated mortality in the United States, by identifying the racial/ethnic and age groups with the highest excess mortality rates.",20-Aug-21
44,"Use of Rapid Antigen Testing for SARS-CoV-2 in Remote Communities — Yukon-Kuskokwim Delta Region, Alaska, September 15, 2020–March 1, 2021","Until the widespread availability of rapid point-of-care COVID-19 testing, one of the primary challenges in rural Alaska was slow turnaround times for SARS-CoV-2 laboratory-based nucleic acid amplification test results.","Introduction of rapid, point-of-care antigen testing in Alaska’s remote Yukon-Kuskokwim Delta region was followed by a more than threefold reduction in daily SARS-CoV-2 case rates during approximately 1 month before the introduction of COVID-19 vaccination.",Rapid point-of-care antigen testing shortens the turn-around time and might be a valuable tool in reducing transmission of SARS-CoV-2 in rural communities by facilitating rapid isolation and quarantine.,20-Aug-21
45,Alternative Methods for Grouping Race and Ethnicity to Monitor COVID-19 Outcomes and Vaccination Coverage,Analyses of race and ethnicity in COVID-19 data to identify and monitor disparities are complicated by missing or unknown data.,"Methods that use more race information when ethnicity information is missing resulted in higher estimated COVID-19 case counts, incidence, and vaccination coverage for most racial groups studied; however, these methods have limitations and warrant further examination of potential bias.","Ongoing work with experts is needed to identify methods for optimizing race and ethnicity data when data are incomplete. Multiple data sources are needed to monitor disparities and continued efforts are needed to strengthen the reporting of these data, consistent with CDC’s Data Modernization Initiative.",13-Aug-21
46,"Reduced Risk of Reinfection with SARS-CoV-2 After COVID-19 Vaccination — Kentucky, May–June 2021","Reinfection with human coronaviruses, including SARS-CoV-2, the virus that causes COVID-19, has been documented. Currently, limited evidence concerning the protection afforded by vaccination against reinfection with SARS-CoV-2 is available.","Among Kentucky residents infected with SARS-CoV-2 in 2020, vaccination status of those reinfected during May–June 2021 was compared with that of residents who were not reinfected. In this case-control study, being unvaccinated was associated with 2.34 times the odds of reinfection compared with being fully vaccinated.","To reduce their likelihood for future infection, all eligible persons should be offered COVID-19 vaccine, even those with previous SARS-CoV-2 infection.",13-Aug-21
